,title,Date,comment
0,,"ORDR, AMZNFriday, September 22nd 2017",Jefferies: Amazon could hit $1.5T by 2020
0,,"AMZNTuesday, May 1st 2018",Audi unveils e-tron and assist from Amazon
0,,"AMZNTuesday, June 19th 2018",Recode reports Amazon blames USPS for Fresh failures; Amazon Go soon public?
0,,"AMZN, SHLDQ, M, JCPNQ, ROST, GPS, JWNThursday, April 19th 2018",Amazon Alexa developers get eight new voices
0,,"AIRB, AMZNMonday, November 26th 2018",Report: Amazon met with ICE about facial recognition tech
0,,"AMZN, WBA, CVS, ABC, CAH, MCKMonday, April 16th 2018",Fashion play coming from Amazon
0,,"AMZNWednesday, May 16th 2018",Bloomberg: Yankees draw partners including Amazon to YES deal
0,,"AMZN, ALL, CB, TRV, AIGWednesday, June 6th 2018",Bezos Amazon stock split goes 75% to Jeff and 25% to MacKenzie
0,,"AMZN, TGT, WMT, SFM, KR, SVU, WMK, CASY...Wednesday, May 16th 2018","Amazon, GM in talks to invest in electric pickup truck maker Rivian - Reuters"
0,,"XLY, XRT, VCR, RTH, RETL, FDIS, FXD, RCD...Friday, July 28th 2017",LVMH to stay off Amazon
0,,"AMZNFriday, February 9th 2018",Amazon offering 5% back on Whole Foods purchases
0,,"AMZNFriday, March 23rd 2018",Monro CEO discloses talks with Amazon
0,,"AMZNTuesday, March 13th 2018",Twitch bringing free games to Amazon Prime members
0,,"AMZN, ETSYThursday, September 22nd 2016",Amazon bringing translation tech to AWS
0,,"AMZN, PLUGWednesday, April 5th 2017",Citi makes room for Amazon at Long Island City building
0,,"XLK, VGT, TECL, FTEC, IYW, ROM, QTEC, RYT...Wednesday, March 28th 2018","Amazon hiring HIPAA Compliance Lead for ""new initiative"""
0,,"AMZNWednesday, August 23rd 2017",Former Amazon Prime head joins Airbnb
0,,"AMZNTuesday, December 19th 2017",Amazon orders 20K Mercedes-Benz vans for delivery service
0,,"AMZNThursday, December 14th 2017",Gildan to sell full underwear line on Amazon
0,,"AMZN, AXAHF, HNGGF, ESXRYThursday, August 16th 2018",Amazon reissued confidently at Guggenheim Securities
0,,"AMZNMonday, November 13th 2017","USPS loss triples to almost $4B, may pressure Amazon"
0,,"AMZNTuesday, March 7th 2017",Amazon workers strike ahead of today's Prime Day event
0,,"SPTNTuesday, May 31st 2016",Amazon's apparel play sized up by investors
0,,"AMZN, MSFTFriday, December 2nd 2016",Calvin Klein to sell some items exclusively on Amazon
0,,"AMZN, DIS, FOX, FOXA, BX, APO, KKR, SBGI...Tuesday, November 20th 2018",Le Monde: Amazon considering physical stores in France
0,,"DISCA, AMZNMonday, August 6th 2018",Amazon hits new all-time high after earnings
0,,"AMZNWednesday, September 27th 2017",Amazon Prime Day. Small to medium businesses rake in over $1B
0,,"AMZNFriday, April 15th 2016",Amazon wins patent for flying warehouse
0,,"KMBTuesday, November 7th 2017","Amazon beats by $0.49, beats on revenue"
0,,"AMZNThursday, July 26th 2018",Amazon -5% on Q3 revenue miss; AWS +46% Y/Y
0,,"WBA, CVS, RAD, DPLO, ESRX, MCK, CAH, ABCThursday, June 28th 2018",Big New Jersey bid for Amazon HQ
0,,"AMZNThursday, August 17th 2017",Amazon finds cause of AWS outage
0,,"KSSTuesday, May 1st 2018",Amazon plans on lower prices at Whole Foods
0,,"AMZN, AAWW, ATSGFriday, August 5th 2016","Amazon, Apple refute Bloomberg report on Chinese supply chain attack"
0,,"AMZNThursday, July 20th 2017",E-commerce bets outside of Amazon
0,,"AMZNTuesday, August 8th 2017",Bloomberg: Amazon's Twitch push includes $1B ad sales goal
0,,"COSTFriday, June 16th 2017","Total determined to drill in Amazon basin, CEO Pouyanne says"
0,,"AMZNFriday, July 14th 2017",Amazon adds music news to Flash Briefing
0,,"AMZN, KR, SFM, IMKTA, SVU, UNFI, HAINThursday, August 24th 2017",Amazon Prime Day 2017 grew 60% on the year
0,,"CVS, WBA, RAD, AMZNWednesday, May 17th 2017",Amazon Payments usage more than doubles in 2016
0,,"AMZNThursday, June 22nd 2017",Amazon seen making another food play
0,,"AMZNMonday, April 30th 2018",Amazon and Google IP addresses caught in Russian Telegram block
0,,"DENNThursday, June 28th 2018",Amazon ends unlimited Cloud Drive storage
0,,"AMZNMonday, February 12th 2018",Amazon rated new Buy at Maxim
0,,"AMZN, FB, GOOG, AAPL, SNAP, TWTRTuesday, March 13th 2018",Amazon pushes deeper into consumables
0,,"AMZNMonday, May 7th 2018","Amazon +3.2% on Q2 EPS beat, 49% AWS growth"
0,,"AMZNFriday, June 22nd 2018",Shutterfly -12% on Amazon Prints launch
0,,"HDThursday, July 5th 2018",Amazon-size headache for BKS and BNED
0,,"KHC, GIS, K, CPB, MDLZ, CL, HAIN, SJM...Thursday, September 14th 2017",Amazon's AWS revenue grows 58%
0,,"AAPL, AMZNWednesday, September 6th 2017",Market cap wars: Amazon aims for No. 3 spot
0,,"GOOG, GOOGL, AMZN, FB, WPP, OMC, PUBGYTuesday, December 5th 2017",Amazon circling U.K. grocery sector?
0,,"XLV, UNH, ANTM, AET, CNC, MOH, CVS, GRX...Tuesday, January 30th 2018",Amazon Studios moving to The Culver Studios; AT&T partners with AWS
0,,"Tuesday, July 24th 2018",Amazon confirms launch of Prime Video in India
0,,"KR, TGT, WMT, AMZN, CMGMonday, December 5th 2016","Amazon Web Services networking issue impacts Alexa, cloud clients"
0,,"AMZNMonday, February 5th 2018",Amazon adds vitamins and supplements to 'Elements' product line
0,,"AMZNWednesday, December 12th 2018","Amazon adds Nokia, Alcatel phones to discount program"
0,,"AMZNWednesday, February 15th 2017","Apple, Amazon on board for Toshiba chip unit"
0,,"AVB, EQRTuesday, October 17th 2017","CNBC: Amazon considering deliveries inside homes, into car trunks"
0,,"TCEHY, TCTZFWednesday, February 28th 2018",Amazon reentering smartphone business with Ice devices?
0,,"AMZNFriday, January 12th 2018",WSJ: Amazon's critical darling has under 1M viewers
0,,"NFLX, AMZNThursday, August 27th 2015",Variety: Apple hires Amazon Studio's international development head
0,,"AMZNFriday, October 28th 2016",Amazon retires product ads program
0,,"AMZN, KSSWednesday, September 6th 2017","Amazon roundup: Acquisition talks, smart speaker race, and Digital Day"
0,,"ATSG, AMZNThursday, November 24th 2016","GBH Insights raises Amazon price target ahead of ""blowout"" holiday quarter"
0,,"XLY, XLKWednesday, September 23rd 2020","Amazon SVP will oversee Whole Foods, Prime Now, and physical stores"
0,,"COSTFriday, September 30th 2016",Blue Apron -7% as Amazon signals move into business
0,,"AMZN, GOOG, GOOGLTuesday, June 20th 2017","Amazon's Twitch to sell games, in-game content"
0,,"AAPLWednesday, February 8th 2017",Amazon discounting third-party products in hopes of a stronger holiday season
0,,"AMZNTuesday, January 17th 2017","Amazon, HarperCollins reach publishing deal"
0,,"AMZNWednesday, January 4th 2017",Reuters: Amazon among possible American Apparel bidders
0,,"AMZNWednesday, July 30th 2014",JBG Smith jumps 4.3% after DC suburb seen as frontrunner for Amazon HQ2
0,,"SFTBF, SFTBY, UBERMonday, September 21st 2020",Wal-Mart steps up challenge to Amazon Prime
0,,"MSFT, AMZN, GOOGMonday, December 5th 2016",S&P overcomes midday tech dip to finish near highs
0,,"GWW, MSM, FASTTuesday, October 24th 2017",Non-delusional Gap to consider Amazon as a partner
0,,"AMZN, GLWWednesday, June 18th 2014",Amazon surprise hardware event at 1:30 pm ET: Live updates
0,,"AMZNMonday, August 14th 2017","TrueCar -9%, Autobytel -5% as Amazon Vehicles launches"
0,,"AMZNMonday, July 23rd 2018",Jefferies exudes confidence on Amazon
0,,"AAPL, AMZN, GOOG, GOOGLWednesday, May 31st 2017",Strategy Analytics: Amazon dominates Wi-Fi speaker market
0,,"AMZNMonday, September 15th 2014",Genealogy giant Ancestry going “all-in” on Amazon Web Services
0,,"AMZNFriday, September 16th 2016",More on Amazon Web Services
0,,"AMZNFriday, March 3rd 2017",Live Nation sheds earnings gains on report of Amazon ticketing service plan
0,,"AMZN, EBAYMonday, July 30th 2018",All eyes on Amazon Prime
0,,"AMZNThursday, April 23rd 2015",Amazon.com unveils smart speaker with screen for $230
0,,"PIRRQ, RH, BBBY, KIRK, HVT, TCSMonday, March 27th 2017",WSJ: Wal-Mart pressures vendors to move off Amazon Web Services
0,,"AMZNFriday, April 11th 2014",Amazon enters 'bloodbath' in Canada
0,,"Z, AMZNWednesday, July 12th 2017",Microsoft reaffirmed as Pentagon's JEDI cloud contract winner (update)
0,,"AMZN, SPLS, ODP, SBUX, XLP, XLY, VDC, XRT...Tuesday, May 20th 2014",Labor turmoil for Amazon in Germany
0,,"NFLX, AMZNThursday, May 19th 2016","Nike rallies after solid guidance, Amazon pilot update"
0,,"AMZNTuesday, April 19th 2016","Run-DMC sues Amazon, Wal-Mart, other retailers"
0,,"BBYFriday, May 26th 2017",Amazon will announce a new Kindle next week
0,,"AMZNThursday, December 8th 2016",Target could be retailer most affected by Amazon-Whole Foods deal
0,,"CRM, AMZNFriday, December 2nd 2016","Amazon the real impetus behind CVS-Aetna deal talks, reports say"
0,,"AMZNTuesday, September 13th 2016","Guggenheim Securities sets Buy rating on Amazon, $950 target"
0,,"AMZNThursday, October 24th 2013",Flattish day for stocks masks Amazon-for-Whole Foods turmoil
0,,"AMZNTuesday, December 17th 2013",Amazon beats IRS in $1.5B tax case
0,,"AMZNWednesday, April 4th 2018",Amazon sells 3x as many Echo devices during this year's Prime Day
0,,"AMZNTuesday, March 31st 2015",Amazon reportedly planning to open up to 100 pop-up retail stores
0,,"AMZN, WMK, SVU, IMKTA, CASY, KR, SFS, WBA...Thursday, October 27th 2016",Amazon soars to $359 as Street bets on improving profits
0,,"AMZNFriday, April 25th 2014",Comcast partners with Amazon.com on online sign-ups
0,,"AMZNThursday, November 17th 2016",Amazon reportedly working on ad-supported streaming service
0,,"AMZNMonday, December 1st 2014",ATSG slips after providing details about Amazon warrant
0,,"AMZNTuesday, December 3rd 2013",Amazon reportedly looking to buy Indian retailer Jabong
0,,"AMZNThursday, October 9th 2014",Amazon may be interested in RadioShack stores too
0,,"FDX, UPSFriday, January 29th 2016",Report: Amazon India to offer streaming services
0,,"LGF.A, LGF.BFriday, May 25th 2018","Amazon, eBay higher following Thanksgiving sales data"
0,,"AMZNFriday, December 12th 2014",European Commission set to begin Amazon tax probe
0,,"Friday, June 16th 2017","Amazon abandoning daily deals, tries to challenge PayPal in mobile"
0,,"AMZN, LGDDFFriday, November 14th 2014",Goldman Sachs expects weak Q4 forecast from Amazon; Alexa gets subscriptions
0,,"DIS, AMZNWednesday, October 1st 2014",Tableau Software ratings range after hiring Amazon executive
0,,"AMZN, W, ETSYWednesday, September 16th 2020","Twilio +4.9%, unconfirmed reports of expanded Amazon partnership circulating"
0,,"AMZN, BBWednesday, June 18th 2014",Amazon fights FTC over app purchases
0,,"LUMN, AMZN, EQIXSunday, May 4th 2014",Amazon displaces Exxon Mobil to become world's fourth-largest public company
0,,"AMZNMonday, July 25th 2016",Amazon's Fire TV will double as a casual gaming console
0,,"ECOM, EBAY, AMZNThursday, October 8th 2015",Amazon in talks with European carriers over smartphone
0,,"AMZNTuesday, February 16th 2016",Accenture forms business unit with Amazon to migrate enterprises to AWS
0,,"AMZN, EBAYThursday, January 30th 2014",Former Microsoft AI expert says why Cortana fell behind Amazon's Alexa
0,,"ESRXTuesday, January 30th 2018",Air Transport Services and Amazon sign air cargo network deal
0,,"AMZNMonday, February 22nd 2016",Amazon's sales beat estimates on narrower margins
0,,"TGT, WMT, SPLS, BBY, ARO, AEO, BKE, PSUN...Tuesday, October 6th 2015",Wal-Mart reports strong traffic from Amazon counterpunch
0,,"WMT, TGT, BBY, AMZNSaturday, October 17th 2015",Comcast turns attention to smart-TV competition
0,,"IVANWednesday, August 27th 2014",Amazon kicks warehouse-building efforts into high gear
0,,"AMZNThursday, November 21st 2013",Amazon launches new cloud storage and machine learning services
0,,"AMZNTuesday, November 19th 2013","Amazon unveils QuickSight analytics service, Snowball storage appliance (updated)"
0,,"AMZNFriday, July 24th 2015",Amazon has no plans to give phone away for free
0,,"AMZNFriday, January 2nd 2015",Shopify named Amazon's Webstore migration partner; shares +16%
0,,"SBUXTuesday, March 11th 2014","Amazon provides free shipping for lighter products, takes aim at eBay"
0,,"STRZASaturday, June 20th 2015",Amazon tops $415; $265M AWS op. profit reported
0,,"TSUMonday, October 21st 2013","Reuters: Amazon Prime has 96% satisfaction, but delays growing"
0,,"AMZNThursday, October 9th 2014","Apple roundup: component costs won't hurt margins, Apple TV now on Amazon"
0,,"AMZNWednesday, October 19th 2016",Amazon calls November 1st start of holiday deal season
0,,"AMZN, BKNG, EXPE, OWWFriday, November 21st 2014",Futures little-changed as Microsoft and Amazon soar
0,,"GOOG, AMZNTuesday, December 16th 2014",WSJ: Amazon working on Kindle-based retail checkout system
0,,"AMZNWednesday, July 16th 2014",Report: Amazon close to beating out Google to buy Twitch (updated)
0,,"AMZN, VMWThursday, October 13th 2016",Amazon Web Services experiencing 'increased error rates' in US-EAST-1 region
0,,"AMZN, VIACTuesday, October 21st 2014",New Amazon API enables in-app physical goods purchases
0,,"AMZN, COIN, BTCS, EBAYMonday, April 14th 2014",Amazon.com +2.8% to new highs as it creates YouTube rival service
0,,"OSTKMonday, August 19th 2013",Amazon sends invites for April 2 event; set-top expected
0,,"AMZN, SNE, NTDOY, MSFTTuesday, January 28th 2014",GrubHub closes down 7.8% after news of Amazon's NYC food delivery move
0,,"AMZNFriday, July 25th 2014","AWS, international growth stand out as Amazon surges towards $675 post-earnings"
0,,"XLY, LEN, TMHC, DHI, TOLTuesday, September 15th 2020",FAANG reversal and industrial lift may be another signal of renaissance for real economy
0,,"GOOG, AMZNFriday, December 20th 2013",Shutterfly names Amazon's U.K. chief its new CEO
0,,"AMZNThursday, February 2nd 2017",Google plans to open 12 data centers as part of its efforts to battle Amazon
0,,"PETMFriday, November 22nd 2013","Amazon building 3 Polish logistics centers, hiring 6K workers"
0,,"AMZNThursday, September 8th 2016",Amazon/eBay's ChannelAdvisor growth picks up; Google search improves
0,,"SVU, SWY, AMZN, KRWednesday, June 25th 2014","Amazon offers discounted e-books, temporarily lists new Paperwhite"
0,,"WMTWednesday, May 13th 2015",Grail files for $100M IPO
0,,"AMZNTuesday, March 12th 2013",Murphy USA and Walmart extend partnership to membership service
0,,"AMZNTuesday, November 27th 2012","Reports: Intel TV project in trouble, talks held with Amazon and Samsung"
0,,"AMZNFriday, August 31st 2012",Theories abound on what an Amazon (NASDAQ:AMZN) smartphone might yield. Ryan Kim thinks ...
0,,"SNOWSaturday, September 12th 2020",Amazon (AMZN +0.2%) announces that Amazon Studios will expand its efforts to develop comedy and...
0,,"AMZNThursday, January 30th 2014",Apple on pace for biggest one-day drop in market cap in history at $150B
0,,"AMZN, FB, AAPL, GOOG, GOOGLWednesday, July 29th 2020",Amazon (AMZN +0.4%) roundup: 1) Apple's (NASDAQ:AAPL) lawsuit against over the name of...
0,,"MSFT, AMZNFriday, August 21st 2020","Amazon (AMZN -1.5%) roundup: 1) Baird forecasts $10B in 2016 revenue for Web Services,..."
0,,"MELIThursday, December 6th 2012",Amazon makes new highs following e-commerce data; eBay range-bound
0,,"MSFT, BABA, AAPL, AMZN, FB, AUMonday, August 10th 2020",Apple planning $5.5B bond sale - Bloomberg
0,,"CRM, FB, AAPL, AMZN, NFLX, GOOG, MSFT, NVDAWednesday, August 26th 2020","Baupost clients' skepticism of famed value fund grows, new findings show"
0,,"SPG, BPY, JCPNQThursday, August 13th 2020",EU antitrust watchdog probing voice assistants
0,,"Thursday, October 23rd 2008",Retail debut of Rainbow Rangers toys sends Genius Brands higher
0,,"IBM, HPQ, DELL, NTAP, ORCLSaturday, March 16th 2013","ViacomCBS appoints Naveen Chopra as EVP, CFO"
0,,"AMZN, AAPL, MSFT, GOOGL, FB, XLF, XLC, XLB...Monday, July 13th 2020",Sector Watch: Retail in the sights at record highs
0,,"GSWednesday, July 29th 2020",Reed's bid up on hopes for turnaround story
0,,"XAUUSD:CURMonday, July 27th 2020","Market gives megacaps the reins again, heads higher"
0,,"AMZN, FB, AAPL, GOOG, GOOGLFriday, July 24th 2020",3M sues seller over fake N95 respirators
0,,"AAPLWednesday, July 22nd 2020",Goodville Mutual selects DXC Technology to optimize claims operations
0,,"AMZN, TSLA, FB, WMTFriday, August 7th 2020",Long-term bull call from Jefferies on online retail
0,,"AMZN, NFLX, OUTR, VZWednesday, June 26th 2013","Amazon (NASDAQ:AMZN) has bought Samsung's (OTC:SSNLF) Liquavista e-reader display unit, The..."
0,,"NFLX, AMZNFriday, March 15th 2013",Market slump continues as techs can't overcome Intel's plunge
0,,"AMZNSunday, July 7th 2013",Morgan Stanley still stuck in neutral on Tesla
0,,"AMZN, VIA, NFLXTuesday, June 4th 2013","Et tu, Amazon (NASDAQ:AMZN)?"
0,,"AMZNFriday, June 14th 2013",A group of online merchants file a lawsuit against Amazon (NASDAQ:AMZN) in Washington over a...
0,,"AMZNWednesday, March 27th 2013",Amazon (NASDAQ:AMZN) announces an exclusive content agreement with Sony Pictures which will see...
0,,"CL1:COMMonday, July 20th 2020",The CIA has agreed to a 10-year deal with Amazon Web Services (NASDAQ:AMZN) that's worth up to...
0,,"BBY, AMZNFriday, January 18th 2013","Amazon (NASDAQ:AMZN) is about to refresh its Kindle lineup, thinks Gizmodo, after noticing some..."
0,,"T, NFLX, DIS, AMZN, CMCSA, ROKUWednesday, May 27th 2020","eBay (EBAY +0.5%) is emerging as a disrupter with the potential to turn the tables on ,..."
0,,"MELI, AMZNTuesday, May 29th 2012",Wal-Mart (NYSE:WMT) is winning the price war against Amazon (NASDAQ:AMZN) across many key...
0,,"AMZN, SAPFriday, May 11th 2012",Futures inch up as Fed comes into focus
0,,"SPY, CL1:COMThursday, July 16th 2020",Amazon (NASDAQ:AMZN) signs an agreement with EPIX that will help it land thousands of new movie...
0,,"CL1:COMThursday, July 16th 2020","As Amazon (AMZN +13%) takes off following its Q1 report, bulls are encouraged by its continued..."
0,,"AMZNWednesday, August 29th 2012",Apple (NASDAQ:AAPL) and Amazon (NASDAQ:AMZN) are similar in that each takes a long time to...
0,,"AMZN, DLB, TXN, NVDAThursday, September 6th 2012",Wayfair rally seen topped out by Baird
